album_id,name,length_sec
"28","Long Road To Ruin","224.88"
"28","Come Alive","310.6"
"28","Stranger Things Have Happened","321.053"
"28","Cheer Up, Boys (Your Make Up Is Running)","221.173"
"28","Summer's End","277.973"
"28","Ballad Of The Beaconsfield Miners","152.213"
"28","Statues","227.813"
"28","But, Honestly","275.706"
"28","Home","293.453"
"29","Razor - Live at the Pantages Theatre, Los Angeles, CA - August 2006","408.08"
"29","Over And Out - Live at the Pantages Theatre, Los Angeles, CA - August 2006","356.76"
"29","Walking After You - Live at the Pantages Theatre, Los Angeles, CA - August 2006","318.693"
"29","Marigold - Live at the Pantages Theatre, Los Angeles, CA - August 2006","199.693"
"29","My Hero - Live at the Pantages Theatre, Los Angeles, CA - August 2006","291.08"
"29","Next Year - Live at the Pantages Theatre, Los Angeles, CA - August 2006","274.653"
"29","Another Round - Live at the Pantages Theatre, Los Angeles, CA - August 2006","295.266"
"29","Big Me - Live at the Pantages Theatre, Los Angeles, CA - August 2006","181.826"
"29","Cold Day In The Sun - Live at the Pantages Theatre, Los Angeles, CA - August 2006","206.213"
"29","Skin And Bones - Live at the Pantages Theatre, Los Angeles, CA - August 2006","240.96"
"29","February Stars - Live at the Pantages Theatre, Los Angeles, CA - August 2006","351.453"
"29","Times Like These - Live at the Pantages Theatre, Los Angeles, CA - August 2006","325.333"
"29","Friend Of A Friend - Live at the Pantages Theatre, Los Angeles, CA - August 2006","241.733"
"29","Best Of You - Live at the Pantages Theatre, Los Angeles, CA - August 2006","302.626"
"29","Everlong - Live at the Pantages Theatre, Los Angeles, CA - August 2006","397.186"
"30","In Your Honor","230.093"
"30","No Way Back","196.573"
"30","Best of You","255.626"
"30","DOA","252.106"
"30","Hell","117"
"30","The Last Song","199.426"
"30","Free Me","278.6"
"30","Resolve","288.64"
"30","The Deepest Blues Are Black","238.333"
"30","End Over End","352"
"30","Still","313.093"
"30","What If I Do?","302.906"
"30","Miracle","209.6"
"30","Another Round","265.76"
"30","Friend Of A Friend","193.2"
"30","Over And Out","316.173"
"30","On The Mend","271.826"
"30","Virginia Moon","229.106"
"30","Cold Day In The Sun","200.626"
"30","Razor","293.173"
"31","All My Life","263.44"
"31","Low","268.306"
"31","Have It All","298"
"31","Times Like These","265.56"
"31","Disenchanted Lullaby","273.12"
"31","Tired Of You","311.28"
"31","Halo","306.52"
"31","Lonely As You","277.146"
"31","Overdrive","270.186"
"31","Burn Away","297.88"
"31","Come Back","467.626"
"31","Walking A Line","235.453"
"31","Sister Europe","310.466"
"31","Danny Says","177.8"
"31","Life Of Illusion","219.653"
"31","For All The Cows - Live In Amsterdam","211.706"
"31","Monkey Wrench - Live at Cold Live At The Chapel, Melbourne, Australia - Feb 2000","242.493"
"32","Stacked Actors","256.44"
"32","Breakout","200.8"
"32","Learn to Fly","235.293"
"32","Gimme Stitches","222.2"
"32","Generator","227.56"
"32","Aurora","349.68"
"32","Live-In Skin","232.72"
"32","Next Year","276.213"
"32","Headwires","277.413"
"32","Ain't It The Life","254.773"
"32","M.I.A.","243.28"
"33","Doll","83.8"
"33","Monkey Wrench","231.48"
"33","Hey, Johnny Park!","248.266"
"33","My Poor Brain","213.56"
"33","Wind Up","150.653"
"33","Up In Arms","135.573"
"33","My Hero","260.026"
"33","See You","146.653"
"33","Enough Space","156.293"
"33","February Stars","289.346"
"33","Everlong","250.546"
"33","Walking After You","303.813"
"33","New Way Home","340.2"
"33","The Colour And The Shape","204.026"
"34","This Is a Call","233.36"
"34","I'll Stick Around","232.533"
"34","Big Me","132.84"
"34","Alone + Easy Target","245.666"
"34","Good Grief","241.226"
"34","Floaty","269.266"
"34","Weenie Beenie","165.4"
"34","Oh, George","181.8"
"34","For All the Cows","209.24"
"34","X-Static","253.493"
"34","Wattershed","133.506"
"34","Exhausted","349.893"
"35","The Glass","211.19"
"35","The Glass","229.783"
"36","The Teacher","604.226"
"37","Show Me How","293.96"
"38","Under You","219.4"
"39","Rescued","258.648"
"40","Chasing Birds - Preservation Hall Jazz Band Re-Version","218.702"
"41","There’d Better Be A Mirrorball","265.798"
"41","I Ain’t Quite Where I Think I Am","191.173"
"41","Sculptures Of Anything Goes","239.151"
"41","Jet Skis On The Moat","197.576"
"41","Body Paint","290.584"
"41","The Car","198.554"
"41","Big Ideas","237.984"
"41","Hello You","244.932"
"41","Mr Schwartz","210.012"
"41","Perfect Sense","167.379"
"42","Four Out Of Five - Live","331.52"
"42","Brianstorm - Live","209.906"
"42","Crying Lightning - Live","240.706"
"42","Do I Wanna Know? - Live","281.093"
"42","Why'd You Only Call Me When You're High? - Live","183.68"
"42","505 - Live","275.733"
"42","One Point Perspective - Live","202.706"
"42","Do Me A Favour - Live","239.533"
"42","Cornerstone - Live","221.973"
"42","Knee Socks - Live","350.466"
"42","Arabella - Live","246.973"
"42","Tranquility Base Hotel & Casino - Live","243.24"
"42","She Looks Like Fun - Live","201.773"
"42","From The Ritz To The Rubble - Live","221.946"
"42","Pretty Visitors - Live","241.24"
"42","Don't Sit Down 'Cause I've Moved Your Chair - Live","221.253"
"42","I Bet You Look Good On The Dancefloor - Live","293.52"
"42","Star Treatment - Live","335.213"
"42","The View From The Afternoon - Live","264.226"
"42","R U Mine? - Live","371.853"
"43","Star Treatment","354.64"
"43","One Point Perspective","208.64"
"43","American Sports","158.04"
"43","Tranquility Base Hotel & Casino","211.967"
"43","Golden Trunks","173.626"
"43","Four Out Of Five","312.346"
"43","The World's First Ever Monster Truck Front Flip","180.013"
"43","Science Fiction","185.906"
"43","She Looks Like Fun","182.56"
"43","Batphone","271.613"
"43","The Ultracheese","217.72"
"44","Do I Wanna Know?","272.394"
"44","R U Mine?","201.726"
"44","One For The Road","206.051"
"44","Arabella","207.356"
"44","I Want It All","185.406"
"44","No. 1 Party Anthem","243.131"
"44","Mad Sounds","215.011"
"44","Fireside","181.049"
"44","Why'd You Only Call Me When You're High?","161.123"
"44","Snap Out Of It","193.03"
"44","Knee Socks","257.563"
"44","I Wanna Be Yours","183.956"
"45","She's Thunderstorms","234.92"
"45","Black Treacle","217.44"
"45","Brick By Brick","179.906"
"45","The Hellcat Spangled Shalalala","180.373"
"45","Don't Sit Down 'Cause I've Moved Your Chair","183.506"
"45","Library Pictures","142.173"
"45","All My Own Stunts","232.28"
"45","Reckless Serenade","162.746"
"45","Piledriver Waltz","203.88"
"45","Love is a Laserquest","191.426"
"45","Suck It and See","225.986"
"45","That's Where You're Wrong","256.8"
"46","My Propeller","205.746"
"46","Crying Lightning","224.826"
"46","Dangerous Animals","210.666"
"46","Secret Door","223.066"
"46","Potion Approaching","212.133"
"46","Fire And The Thud","237.533"
"46","Cornerstone","197.973"
"46","Dance Little Liar","283.493"
"46","Pretty Visitors","220.506"
"46","The Jeweller's Hands","344.053"
"47","Brianstorm","172.866"
"47","Teddy Picker","165"
"47","D is for Dangerous","138.106"
"47","Balaclava","171.226"
"47","Fluorescent Adolescent","183.893"
"47","Only Ones Who Know","184.76"
"47","Do Me a Favour","209.253"
"47","This House is a Circus","191.68"
"47","If You Were There, Beware","276.2"
"47","The Bad Thing","145.213"
"47","Old Yellow Bricks","193.226"
"47","505","253.586"
"48","The View From The Afternoon","222.946"
"48","I Bet You Look Good On The Dancefloor","173.68"
"48","Fake Tales Of San Francisco","177.946"
"48","Dancing Shoes","141.133"
"48","You Probably Couldn't See For The Lights But You Were Staring Straight At Me","130.813"
"48","Still Take You Home","173.666"
"48","Riot Van","134.933"
"48","Red Light Indicates Doors Are Secured","143.626"
"48","Mardy Bum","175.44"
"48","Perhaps Vampires Is A Bit Strong But…","268.626"
"48","When The Sun Goes Down","202.133"
"48","From The Ritz To The Rubble","193.426"
"48","A Certain Romance","331.2"
"49","I Ain’t Quite Where I Think I Am","191.173"
"49","Body Paint","290.584"
"49","There’d Better Be A Mirrorball","265.798"
"50","Body Paint","290.584"
"50","There’d Better Be A Mirrorball","265.798"
"51","There’d Better Be A Mirrorball","265.798"
"52","Arabella - Live","246.973"
"52","505 - Live","275.733"
"53","505 - Live","275.733"
"54","Tranquility Base Hotel & Casino","211.967"
"54","Anyways","221.229"
"55","Four Out Of Five - Recorded at Electric Lady Studios, New York","274.968"
"55","- - Recorded at Electric Lady Studios, New York","145.747"
"56","One For The Road","206.051"
"56","You're So Dark","182.751"
"57","Why'd You Only Call Me When You're High?","161.123"
"57","Stop The World I Wanna Get Off With You","191.04"
"58","Do I Wanna Know?","273.424"
"58","2013","146.887"
"59","R U Mine?","200.187"
"59","Electricity","181.536"
"60","Black Treacle","217.44"
"60","You and I","206.986"
"61","Adamın Dibi","277.306"
"61","Dünyaya Bedel","348.36"
"61","Linç","250.32"
"61","Canavar","145.653"
"61","Forsa","227.973"
"61","Hazinende","287.653"
"61","Kaptan","337.613"
"61","Ağrılar","212.186"
"61","Tünel","322.333"
"61","İstiklal","322.28"
"61","Park","397.946"
"62","Aşk İçinde (Harbiye Açıkhava, 2019) - Canlı Senfonik","246.549"
"62","Kış Geliyor (Harbiye Açıkhava, 2019) - Canlı Senfonik","262.069"
"62","Nakba (Harbiye Açıkhava, 2019) - Canlı Senfonik","247.69"
"62","Yağmur, Teşekkürler (Harbiye Açıkhava, 2019) - Canlı Senfonik","264.224"
"62","Cambaz (Harbiye Açıkhava, 2019) - Canlı Senfonik","249.695"
"62","Deli (Harbiye Açıkhava, 2019) - Canlı Senfonik","203.088"
"62","Son Deneme (Harbiye Açıkhava, 2019) - Canlı Senfonik","189.013"
"62","Oyunbozan (Harbiye Açıkhava, 2019) - Canlı Senfonik","283.072"
"62","Uyan (Harbiye Açıkhava, 2019) - Canlı Senfonik","309.973"
"62","Bir Derdim Var (Harbiye Açıkhava, 2019) - Canlı Senfonik","333.738"
"63","Oyunbozan - Canlı","280.969"
"63","Melekler Ölmez - Canlı","226.839"
"63","Güneşi Beklerken - Canlı","315.929"
"63","Çocuklar Ve Hayvanlar - Canlı","285.839"
"63","Cambaz - Canlı","254.53"
"63","Deli - Canlı","199.361"
"63","Canlı Yayın - Canlı","354.437"
"63","Araf - Canlı","264.121"
"63","Son Deneme - Canlı","189.481"
"63","2012 - Canlı","264.806"
"63","Küçük Sevgilim - Canlı","262.92"
"63","Uyan - Canlı","324.494"
"63","Bir Derdim Var - Canlı","256.331"
"64","Parti","206.133"
"64","Kördüğüm","290.36"
"64","Ayıp Olmaz Mı?","288.906"
"64","Şirket","212.693"
"64","Küçük Sevgilim","253.973"
"64","Durma Öyle","221.8"
"64","Kış Geliyor","263.76"
"64","Darbe","213.333"
"64","Saklama","293.933"
"64","Sonu Belli","243.773"
"64","Çocuklar Ve Hayvanlar","288.066"
"64","Büyük Düşler","313.693"
"64","Korkma","251.493"
"64","Meksika","206.466"
"64","Sor","266.906"
"64","Yorma Kendini","227.733"
"64","Festus","269.333"
"64","Araf","248.933"
"64","Camgezer","211.333"
"64","Nakba","227.533"
"65","Melekler Ölmez","218.715"
"65","Anlatamıyorum","267.828"
"65","Loveliest Mistake","194.812"
"65","Dependence Day","247.049"
"65","Deli","184.8"
"65","İddia","238.36"
"65","Sonbahar","183.64"
"65","Yaz Yaz Yaz","300.13"
"65","Güneye Giderken","250.026"
"66","Güneşi Beklerken","260.862"
"66","Eski Şarkısı","308.4"
"66","Oyunbozan","277.328"
"66","Sana Değmez","261.464"
"66","Son Sabah","346.308"
"66","Yağmur, Teşekkürler","276.56"
"66","Bahar","325.823"
"66","Gel Söndür Beni","313.087"
"66","Tamiri Mümkün Kalbinin","314.888"
"66","Boş Bir Dünya","261.735"
"66","Mermiler","514.873"
"66","Denize Doğru","278.565"
"67","Korkma","251.493"
"67","Meksika","206.466"
"67","Sor","266.906"
"67","Yorma Kendini","227.733"
"67","Festus","269.333"
"67","Araf","248.933"
"67","Camgezer","211.333"
"67","Nakba","227.533"
"67","Kara Kutu","256.8"
"67","2012","264.466"
"67","Bisiklet","288.96"
"68","Deli","184.8"
"68","İddia","238.36"
"68","Sonbahar","183.64"
"68","Kış Geliyor - Canlı","257.466"
"68","Re - Canlı","204.866"
"68","Bir Derdim Var - Canlı","200.866"
"68","Parti - Flatliners Killa Mix","217.266"
"68","Kördüğüm - Demian & Emre Remix","304.426"
"68","Ayıp Olmaz Mı? - Kaan Düzarat & Fuchs Rework Remix","294.973"
"68","Küçük Sevgilim - Kaan Düzarat Remix","292.826"
"68","Darbe - Burak Güven & Serkan Hökenek Remix","202.44"
"68","Çocuklar Ve Hayvanlar - DJ Kambo Remix","297.533"
"68","Deli - Luna Remix By Cihan Barış","205.493"
"68","İddia - Kerem Kabadayı & Serkan Hökenek Remix","838.533"
"69","Parti","206.133"
"69","Kördüğüm","290.36"
"69","Ayıp Olmaz Mı?","288.906"
"69","Şirket","212.693"
"69","Küçük Sevgilim","253.973"
"69","Durma Öyle","221.8"
"69","Kış Geliyor","263.76"
"69","Darbe","213.333"
"69","Saklama","293.933"
"69","Sonu Belli","243.773"
"69","Çocuklar Ve Hayvanlar","288.066"
"69","Büyük Düşler","313.693"
"70","Yardım Et","335.12"
"70","Cambaz","230.6"
"70","Bir Derdim Var","204.32"
"70","Re","219.173"
"70","Sevda Çiçeği","240.44"
"70","Serseri","214.053"
"70","Aşk İçinde","241.28"
"70","Az Çok","179.28"
"70","Son Deneme","197.2"
"70","Uyan","1646.32"
"71","Daha Mutlu Olamam","220.333"
"71","Doğru Yanlış","264.093"
"71","Gül Kendine","259.8"
"71","Hayat","332.866"
"71","Hep Aynı","277.4"
"71","Eksik","293.133"
"71","Orda Durma","279.506"
"71","Gece","285.026"
"71","Bazen","235.266"
"71","Canlı Yayın","348.6"
"71","Bir","821.186"
"72","Son Giden","212.653"
"72","Şarkıcı Çocuk","226.106"
"72","Özgürlük","191.2"
"72","Mucize","253.866"
"72","Pis","200.906"
"72","Yeşillik","141.373"
"72","23","329.64"
"72","Tv'deki Kız","219.733"
"72","Boşver","175.413"
"72","Bırakmazlar Yakamı","276.346"
"72","Çelişki","89.093"
"72","Beyaz","212.56"
"72","Ne","257.079"
"72","Balıklar","222.44"
"73","Sabahın Köründe","217.56"
"73","Yalnız Şarkı","286.44"
"73","Uyku","229.266"
"73","Şehir","251.933"
"73","Sessizlik","356.666"
"73","The Faithful Lover","239.333"
"73","Rüya","254.226"
"73","Reality","317.84"
"73","Past","252.693"
"73","İthaf","237.96"
"74","Boğaziçi - Kargo: Yarına Kalan Şarkılar","250.149"
"75","Yaz Yaz Yaz","216.096"
"76","Tamiri Mümkün Kalbinin - Canlı","357.311"
"77","Dünyaya Bedel","352"
"78","Forsa","230.133"
"79","Bir Derdim Var - Canlı Senfonik","256.606"
"80","Büyük Düşler - Onur Yenihayat Remix","295.937"
"80","Büyük Düşler - Kaan Ceylani Remix","279.209"
"80","Büyük Düşler - Furkan Kalemci Remix","390.923"
"80","Büyük Düşler - Mert Özçiftçi Remix","218.62"
"80","Büyük Düşler - Hakan Atmaca Remix","212.38"
"80","Büyük Düşler - Batuhan Oğuz Remix","306.457"
"80","Büyük Düşler - Arın Kamiloğlu Remix","218.528"
"80","Büyük Düşler - Anıl Gün Remix","222.822"
"80","Büyük Düşler - Günkut Adalı Remix","321.679"
"81","Kor Bir Ay","181.333"
"81","İkarus Başarsa","210.76"
"81","Laleler Beyaz","238.506"
"81","Bir Ses","301.56"
"81","Edepsiz Komedya","163.373"
"81","Bu Defa","260.066"
"81","Denek Hayatım","418.333"
"81","Yağmur Güncesi","222.493"
"81","Kırmızı Oda","231.666"
"81","Dönsün","265.2"
"81","Sentetik Sezar","280.573"
"82","Hamur İşleri","146.677"
"82","Küçük Prens","236.908"
"82","Söylesem Olmaz","228.052"
"83","Denek Hayatım","215.066"
"83","Son Zamanlarda","234.453"
"83","Onsuz","224.48"
"83","Bir - Akustik","200.16"
"83","Gece - Akustik","279.786"
"83","Sevda Çiçeği - Akustik","217.4"
"83","Büyük Düşler - Akustik","307.826"
"84","Healing Dream","425.386"
"84","Into the Sun","269.493"
"84","Never Enough","255.333"
"84","Program 1","212.76"
"84","Low Turbulence","269.346"
"84","Shell Shock","169.48"
"84","When She Left","267.173"
"84","L'Annonce Des Couleurs","351.386"
"84","Chapter Two - Southsquare Mix","267.173"
"84","Back On Earth","346.106"
"84","Long Way Home","196.813"
"84","Sync In","270.586"
"84","Visious Circle","204.973"
"84","Titty Twister","267.573"
"84","The Truth - Coufsat Mix","403.093"
"84","Blue Sky","256.053"
"85","Healing Dream","705.13"
"85","Into The Sun","538.958"
"85","Never Enough","479.733"
"85","Program 1","387.727"
"85","Low Turbulance","521.06"
"85","Shell Shock","404.546"
"85","When She Left","320.64"
"85","L'annonce Des Couleurs","521.892"
"85","Chapter Two - Southsquare Remix","408.8"
"85","Back On Earth","592.134"
"85","Long Way Home","392.175"
"85","Sync In","356.124"
"85","Vicious Circle","362.463"
"85","Titty Twister","422.645"
"85","The Truth - Coufsat Mix","543.897"
"85","Blue Sky","405.64"
"85","Continuous Mix Magik One","4432.171"
"86","Fixi - Radio Edit","209.753"
"86","Heartbeat - Radio Edit","200.832"
"86","One Moment - Freigeist Remix Edit","273.961"
"86","Neverland - Solid Sleep Mix","445.831"
"86","Yasmine - Progressers Black Remix","386"
"86","Love Is a Shield - Extended Mix","327.721"
"86","Red Arrow - Original Mix","431.427"
"86","I Believe in Love","453.934"
"86","Beats Brings Silence - Original Mix","297.826"
"86","Infinity Day - Thomas Petersen, Gainworx Instrumental Remix","482.077"
"86","Light a Rainbow - Atb Remix","484.08"
"86","World of Innocence - Original Mix","472.773"
"86","Colouring My World - Andrea Faustinelli Vocal Remix","400.613"
"86","Cafe Del Mar 3000 - Original Mix","357.293"
"86","Make a Change - Original Mix","461.636"
"86","Tension - Original","629.306"
"86","Feel - Original Mix","285.346"
"86","Das Siegel - Original Mix","492.946"
"86","Frozen - Original Mix","429.146"
"86","Love Strings - Club Mix","318.41"
"87","Ağlamam Zaman Aldı - İnkar","246.808"
"87","Bize Susmak Yakışır - Öfke","233.284"
"87","Antidepresan Gülümsemesi - Pazarlık","255.487"
"87","Levla Vazgeçti - Depresyon","244.305"
"87","Sen Ona Aşıksın - Kabullenme","229.496"
"87","Müzik Kutusu","241.823"
"87","Kehanet","217.621"
"87","Ninni","174.46"
"87","Kuğunun Ağıtı","215.051"
"87","Sarı Kurdeleler","289.432"
"88","Ağlamam Zaman Aldı - İnkar","246.808"
"88","Bize Susmak Yakışır - Öfke","233.284"
"88","Antidepresan Gülümsemesi - Pazarlık","255.487"
"88","Levla Vazgeçti - Depresyon","244.305"
"88","Sen Ona Aşıksın - Kabullenme","229.496"
"88","Müzik Kutusu","241.823"
"88","Kehanet","217.621"
"88","Ninni","174.46"
"88","Kuğunun Ağıtı","215.051"
"88","Sarı Kurdeleler","289.432"
"88","Ağlamam Zaman Aldı Akustik","239.722"
"88","Sarı Kurdeleler Akustik","285.537"
"89","Buzdan Şato","217.26"
"89","Şey... Belki !","206.602"
"89","Değmesin Ellerimiz","267.702"
"89","Sana Ne?","215.588"
"89","Pembe Mezarlık","255.346"
"89","Bir Melek Vardı","238.628"
"89","Benim Tatlı Kanserim","222.85"
"89","Karadul","174.08"
"89","Çürüsün Gelinliğim","245.42"
"89","Makyaj","269.844"
"89","Yalnızlık Senfonisi","309.681"
"89","Değmesin Ellerimiz - Akustik","268.46"
"90","Mey","287.118"
"91","Bir Pazar Kahvaltısı","257.405"
"92","Dağılmak İstiyorum","208.274"
"93","Acilis","62.173"
"93","Ego Daglari","177.866"
"93","Olmaz","214.453"
"93","Bu Matem Dolu Cennet","265.213"
"93","Bak Bir Varmis Bir Yokmus","172.453"
"93","Ellerinde Ellerim","188.666"
"94","Kaybolan Yıllar","232.079"
"94","Unutmamalı","376.572"
"94","Bunlar'da Geçer","211.723"
"94","Alain Delon","231.957"
"94","Ay Yüzlüm","270.192"
"94","Bir Garip Yolcuyum","243.061"
"94","Hata","252.194"
"94","Pare Pare","361.96"
"94","Sen Mutlu Ol","291.177"
"94","Herkes Oynuyor","297.221"
"94","Tutamıyorum Zamanı","209.929"
"94","Öp","384.777"
"94","Gidiyorum","343.693"
"94","Petrol","253.335"
"94","Kalp Kalbe Karşı","255.216"
"94","Daha","242.677"
"94","Aşkistan","209.737"
"94","Koy Koy Koy","184.894"
"94","Kahır Mektubu","267.284"
"94","Yazmışsa Bozmak Olmaz","261.015"
"95","Erkekler Ağlamaz","355.317"
"95","Göreceksin Kendini","232.594"
"95","Ara Sıra Bazı Bazı","218.853"
"95","Sensiz Olmaz","247.614"
"95","Haram Geceler","245.289"
"95","Hey Gidi Günler","194.246"
"95","İntizar","241.371"
"95","Aşk Kitabı","248.973"
"95","Unut Gitsin","266.553"
"95","Uzak Dur Ateşimden","263.131"
"95","Selam Söyle","220.839"
"95","Kim Arar Seni","184.502"
"95","Hatıralar Hayal Oldu","240.226"
"95","Başıma Gelenler","204.573"
"95","Son Perde","273.333"
"95","Her Yerde Kar Var","195.653"
"95","Kavak Yelleri","256.906"
"95","Yaşamak Ne Güzel Şey","239.373"
"95","Dokun Bana","252.066"
